"tract","zipcode","approx_loc","county","region","ACS2024Pop","CIscore","CIscoreP","ozone","ozoneP","pm","pmP","diesel","dieselP","pest","pestP","RSEIhaz","RSEIhazP","traffic","trafficP","drink","drinkP","lead","leadP","cleanups","cleanupsP","gwthreats","gwthreatsP","haz","hazP","iwb","iwbP","swis","swisP","SmATS","SmATSP","Pollution","PollutionS","PollutionP","asthma","asthmaP","lbw","lbwP","cvd","cvdP","diabetes","diabetesP","edu","eduP","ling","lingP","pov","povP","unemp","unempP","housingB","housingBP","PopChar","PopCharSco","PopCharP","pop_und10","pop_10_64","pop_ov64","hisp","white","black","amind","asian","pacisl","othmult"
6001400100,94720,"Berkeley","Alameda","Bay Area",3132,7.44202244437926,5.76774050702978,0.02857946698,5.71052053591039,6.882156052,12.8706347463211,0.097241556,66.5604045289656,0,0,575.7389933,55.1096902215853,539.417,60.3495657909201,2.836099813,3.57260635374299,17.7705902853367,16.0825199645075,0.9,11.4164904862579,8.5,42.1068075117371,4.375,94.3125734430082,3,28.5067084857989,0.5,19.6480406386067,38.15,31.0170633138752,30.9661998384563,3.75832701931293,18.4713375796178,17.74,10.415518571586,6.84,76.10559566787,7.32,4.83480176211454,9.8,27.8280044101433,0,0,0.598354525056096,2.35984666986104,7.36707238949391,6.02809423736312,3.97982062780269,25.7870730893314,7.63636363636364,8.3370288248337,19.1491943336032,1.98014233624081,5.63489427654157,10.86,59,30.14,6.83,65.49,4.98,0,17.37,0,5.33
6001400200,94618,"Oakland","Alameda","Bay Area",2203,10.5165284052047,13.096424222296,0.02799200288,4.91983307709203,6.950723267,14.6386997584011,0.181734121,85.9953830933275,0,0,577.3680013,55.1758350788226,1229.853,86.5999780147301,2.836099813,3.57260635374299,66.0190923076263,68.1566104702751,0,0,62.05,92.6643192488263,0.77,65.4524089306698,1,10.2979613173027,0,0,93.85,64.2343960484957,39.5131946841601,4.79566456250881,39.4575005490885,19.81,14.2620963297696,6.19,63.8763537906137,6.86,2.98458149779736,7.9,8.24696802646086,4.11428571428571,19.5309026233882,1.47895335608646,10.7930043124102,10.9396277802996,14.4563654463002,5.85365853658537,48.3813549894315,7.31428571428571,7.19512195121951,21.2069248878552,2.19292410220265,7.59437617624267,11.35,63.78,24.88,9.17,64.82,2.04,0.86,12.44,0,10.67
6001400300,94618,"Oakland","Alameda","Bay Area",5990,11.3841743868501,15.3658806598029,0.02776101617,4.42565341533055,7.120571697,18.8886448495497,0.168339605,84.0716719797736,0,0,560.1406657,54.6356520780509,1244.499,86.8638012531604,2.836099813,3.57260635374299,70.8668328241535,73.6468500443656,0,0,37.15,83.7734741784037,2.68,89.4829612220917,0,0,0,0,253.1,90.7835653345308,41.8442955942215,5.07858721949394,45.6182736657149,24.72,24.1155075498733,5.46,47.2924187725632,7.3,4.81277533039648,7.8,7.80595369349504,1.98371267487993,8.05913739439751,3.25484764542936,25.5390512697652,11.4754098360656,15.9606238247981,6.17032126466089,51.7855156302147,8.33333333333333,10.3991130820399,21.6776760384125,2.24160261404046,8.04826746374405,7.91,73.61,18.48,9.53,58.2,8.65,0.37,7.93,0,15.33
6001400400,94609,"Oakland","Alameda","Bay Area",4399,8.77915665846634,8.76785121222185,0.0279343553,4.81001537447837,6.916525396,13.6393586646167,0.171106907,84.6322963614378,0,0,600.3890076,55.848307794069,975.612,79.8944707046279,2.836099813,3.57260635374299,68.798484167891,71.3398402839397,0.7,9.66475385080036,72.9,94.4982394366197,1.155,75.0058754406581,0,0,0,0,179.6,84.6879209699147,40.8034518335201,4.95226137876649,42.8179222490665,41.01,61.4680921415188,2.88,5.14440433212996,9.16,14.9559471365639,6.9,4.26681367144432,1.50875075437538,5.46909737661183,0.499168053244592,1.23382846190704,17.3923112552107,31.44563654463,1.13774888256806,2.09144509956614,11.5909090909091,23.9024390243902,17.1436518109176,1.7727571279069,3.99645743385365,15.07,69.15,15.78,11.57,61.63,7.66,0,11.75,0,7.39
6001400500,94609,"Oakland","Alameda","Bay Area",3579,19.6813622841124,37.6397653049928,0.02789433514,4.7331429826488,6.916525396,13.6393586646167,0.144947992,79.9164559744971,0,0,626.021667466667,56.4656597949509,321.162,35.4072771243267,2.836099813,3.57260635374299,59.3373338976861,61.1024844720497,3.5,32.6789489580187,31.55,80.0176056338028,1.02,72.2326674500588,0,0,0,0,183.7,85.0920520880108,36.2375973433411,4.39810961373847,30.5073577860751,51.84,81.2520665711451,4.95,34.961642599278,10.15,22.6982378854626,7.8,7.80595369349504,2.90592081365783,13.0947087594486,2.371072910492,18.3756588404408,26.5603134620767,53.710872691074,9.03901046622265,76.8049838691734,27.6190476190476,87.3725055432373,43.27561056401,4.47495947409617,41.0494852208569,10.62,71.67,17.71,17.77,45.99,21.15,0.08,7.35,0.2,7.46
6001400600,94609,"Oakland","Alameda","Bay Area",2052,16.0648076430316,28.0637661906343,0.02773874645,4.34878102350099,7.099720364,18.3944651877883,0.177282103,85.467736616467,0,0,584.9086609,55.3963179362805,1686.574,94.3827635484226,2.836099813,3.57260635374299,81.8918879669132,85.8030168589175,1.75,21.6852914527333,14.7,56.5580985915493,2.76,89.9647473560517,0,0,0,0,94,64.3017512348451,41.8643566623811,5.08102200499858,45.6731825170217,53.81,83.6107131048165,5.23,41.4034296028881,10.46,25.2312775330396,7.8,7.80595369349504,4.45979899497487,21.3428190306803,0.718562874251497,3.74940105414471,19.9203187250996,37.9493418869594,2.3574144486692,8.95538992101457,13.8961038961039,36.1973392461197,30.5758508556718,3.1617276262979,20.5468836488431,7.46,81.24,11.31,10.28,47.22,21.59,0.29,6.73,0,13.89
6001400700,94608,"Emeryville","Alameda","Bay Area",4576,23.2301800315569,46.2526292483117,0.02769233197,4.16209092905776,7.018938737,16.2200746760378,0.169134349,84.2585467736616,0,0,609.941680933333,56.0908389372726,523.449,59.0194569638342,2.836099813,3.57260635374299,75.2205634767312,78.393966282165,10.25,59.8912715191785,37.05,83.7441314553991,2.665,89.3419506462985,10,78.5154208050183,0,0,318.5,93.6573866187696,47.6514740232401,5.7833968412625,61.5638040852185,61.34,89.4742643006723,5.7,52.8203971119134,8.86,13.1387665198238,8.7,14.4873208379272,1.8348623853211,7.24766562916852,3.47607052896725,27.3119310014375,19.3618881118881,36.3344762747484,5.60718711276332,45.3443097118701,18.6567164179104,59.80044345898,38.8439762039125,4.01670171858478,33.6211668327245,7.76,82.3,9.94,9.22,45.04,26.22,1.46,11.54,0,6.51
6001400800,94608,"Emeryville","Alameda","Bay Area",4548,22.1532496522952,43.7839034650725,0.02775551005,4.39270810454645,6.51998346,6.95146057544476,0.097622836,66.8352204023304,0,0,673.5733439,57.6893396538419,523.86,59.052434868638,2.836099813,3.57260635374299,18.338575603277,16.7480035492458,66.45,96.8136514648143,125.25,97.5792253521127,4.545,94.5005875440658,10,78.5154208050183,0,0,458.05,96.6434665469241,43.7175006652567,5.30593565966136,50.8565780803866,62.31,90.0033065138322,7.39,84.4990974729242,8.44,10.7488986784141,8.9,16.5490628445424,5.24765729585007,25.277901289462,6.83491062039958,49.2692860565405,21.180632323679,40.8583121336135,0.459619172685489,0.3559906552453,13.7931034482759,35.7538802660754,40.3765827288078,4.17518248868269,36.2116683272446,5.56,79.09,15.35,19.77,48.57,7.98,0,14.25,0.2,9.23
6001400900,94608,"Emeryville","Alameda","Bay Area",2855,28.5035612717694,56.6146352263921,0.02761007859,3.78871074017132,7.018938737,16.2200746760378,0.193868949,87.4574035396285,0,0,600.800008133333,55.8703560798148,453.189,52.610750796966,2.836099813,3.57260635374299,95.8241350540103,98.49157054126,36.15,91.3621262458472,81.65,95.18779342723,3.565,92.8202115158637,10,78.5154208050183,0,0,148,79.7036371800629,50.811466570303,6.16692098799054,69.5036239841862,63.95,91.0393475146038,10.87,99.447202166065,8.38,10.2533039647577,8.5,12.4696802646086,0.791687283523008,2.07870164517563,1.02827763496144,6.64829899377096,24.6584938704028,49.264461895808,10.4560622914349,84.1584158415842,14.3497757847534,38.3148558758315,44.6976651639714,4.62200850753191,43.2968006199491,9.77,82.56,7.67,14.71,33.7,30.23,0,10.61,0,10.75
6001401000,94608,"Emeryville","Alameda","Bay Area",6361,28.081423164679,55.8175578434629,0.0274433883,2.86624203821656,7.222833697,21.1948166044366,0.346125974,95.9217324392657,0,0,536.625000033333,53.7978172197112,1351.263,89.2162251291635,2.836099813,3.57260635374299,40.523558438269,41.0159716060337,33.95,90.652370884929,154.7,98.3861502347418,4.155,94.0893066980024,10,78.5154208050183,0,0,413.9,96.0484957341715,51.0594367468177,6.19701680275763,70.1076213485614,61.53,89.5955031411881,6.18,63.6620036101083,8.88,13.1607929515419,8.3,10.9151047409041,8.64763492394249,40.3846153846154,7.43600162535555,52.5155725922377,20.8438287153652,40.0287578807654,7.7396449704142,66.970742018022,10,16.6518847006652,43.8218328130984,4.53144215329268,41.968338315067,14.65,76.32,9.02,13.41,26.6,38.7,0,5.93,0.49,14.87
