County,Public Level 2,Public DC Fast,Public Ports,EV_2022,EV_2023,EV_2024,EV_2025,Population_2022,Population_2025,EV_Growth,EV_Growth_Rate,Ports_per_1000_EVs,EVs_per_1000_residents_2022,EVs_per_1000_residents_2025,EV_per_capita_growth_rate
Santa Barbara,761,262,1023,8927,11832,14757,17468,444384,445385,8541,0.9567603898286098,58.56423173803527,20.088482033556566,39.220000673574546,0.9523625830991094
Santa Clara,8587,1304,9891,106873,139849,172953,204281,1896631,1926809,97408,0.9114369391707915,48.41859986978721,56.348862799353164,106.02036839147004,0.8814996989200474
Santa Cruz,294,135,429,8158,10094,12095,13863,265763,262137,5705,0.6993135572444227,30.94568275265094,30.696522841780084,52.88456036347406,0.7228192468592738
Shasta,160,144,304,1518,2000,2475,3090,180663,181582,1572,1.0355731225296443,98.38187702265373,8.40238455023995,17.017105219680364,1.0252709356410499
Sierra,4,0,4,18,25,29,43,3195,3109,25,1.3888888888888888,93.02325581395348,5.633802816901409,13.830813766484399,1.4549694435509806
Siskiyou,38,109,147,241,305,385,467,43382,42530,226,0.9377593360995851,314.77516059957173,5.5552994329445395,10.980484363978368,0.9765783098676744
Solano,397,385,782,9273,12750,15914,19019,448536,451773,9746,1.0510083036773428,41.116777958883226,20.673925838728664,42.09857605478857,1.0363126182800224
Sonoma,1013,229,1242,15049,19044,23247,27094,481057,483481,12045,0.8003854076682836,45.840407470288625,31.283195130722557,56.03943071185838,0.7913589221844943
Stanislaus,261,214,475,5337,7514,9895,12760,549895,556900,7423,1.3908562863031666,37.225705329153605,9.705489229762046,22.912551625067337,1.3607827573292868
Sutter,18,16,34,886,1147,1490,1830,99264,101188,944,1.0654627539503385,18.579234972677593,8.925693101225017,18.085148436573505,1.0261898131016167
Tehama,83,42,125,289,398,490,582,65442,64881,293,1.013840830449827,214.7766323024055,4.416124201583082,8.97026864567439,1.0312537048796653
Trinity,10,12,22,62,87,112,136,15932,15733,74,1.1935483870967742,161.76470588235296,3.8915390409239268,8.644250937519862,1.2212936441381683
Tulare,249,124,373,2822,3831,5176,6793,477288,487140,3971,1.4071580439404678,54.9094656263801,5.912572702435427,13.944656566900687,1.3584752811845835
Tuolumne,59,25,84,497,698,851,1036,53294,52527,539,1.0845070422535212,81.08108108108108,9.325627650392166,19.723189978487255,1.1149450436891342
Ventura,1024,342,1366,23547,31779,40310,46992,832680,827527,23445,0.9956682379921009,29.06877766428328,28.278570399192965,56.78606256955966,1.0080952384771282
Yolo,425,205,630,5031,6703,8433,9962,221719,225010,4931,0.9801232359371894,63.240313190122464,22.690883505698654,44.273587840540415,0.9511619205757862
Yuba,52,12,64,686,958,1343,1714,83058,86433,1028,1.498542274052478,37.339556592765454,8.259288689831203,19.8303888561082,1.4009802297531118
